Sample,Timestamp,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,Motion,LocalizationValid
132,09:35:06,28.094000000040978,2.7107280088426196,-0.09293447560126313,7.170000076293945,0.0,0.25,0.0,FORWARD,True
133,09:35:06,28.31300000002375,2.7264223133722267,-0.09663941629021672,7.090000152587891,0.0,0.25,0.0,FORWARD,True
134,09:35:06,28.51600000000326,2.7344202606315107,-0.09401205050636413,7.069999694824219,0.0,0.25,0.0,FORWARD,True
135,09:35:06,28.719000000040978,2.7505478210171628,-0.09298105379914753,6.8899993896484375,0.0,0.25,0.0,FORWARD,True
136,09:35:07,28.92200000002049,2.7692458369400614,-0.0933909303149568,6.700000762939453,0.0,0.25,0.0,FORWARD,True
137,09:35:07,29.125,2.8027699719545436,-0.0870369687238371,6.409999847412109,0.0,0.25,0.0,FORWARD,True
138,09:35:07,29.32900000002701,2.813114751757387,-0.07816749115151839,6.399999618530273,0.0,0.25,0.0,FORWARD,True
139,09:35:07,29.53200000000652,2.8438032378412426,-0.07898340691364848,6.340000152587891,0.0,0.25,0.0,FORWARD,True
140,09:35:07,29.735000000044238,2.858067689499084,-0.08527962369803507,6.210000991821289,0.0,0.25,0.0,FORWARD,True
141,09:35:08,29.93800000002375,2.8671150657482336,-0.09559268300030384,6.30000114440918,0.0,0.25,0.0,FORWARD,True
142,09:35:08,30.14100000000326,2.9166905512770613,-0.11730611137078818,6.200000762939453,0.0,0.25,0.0,FORWARD,True
143,09:35:08,30.360000000044238,2.9514874297814844,-0.12665663622037396,6.280000686645508,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
144,09:35:08,30.57900000002701,2.974249893145776,-0.11784503344969612,6.710000991821289,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
145,09:35:09,30.79700000002049,3.03140838774325,-0.12535206753928435,13.050000190734863,0.0,0.25,0.0,FORWARD,True
146,09:35:09,31.01600000000326,3.037561728378031,-0.14786608511113333,19.690000534057617,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
147,09:35:09,31.219000000040978,3.095229663798443,-0.16328428254106825,24.65000033378601,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
148,09:35:09,31.42200000002049,3.08573284175663,-0.21479351533000038,31.580000400543213,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
149,09:35:09,31.625,3.1171130125918385,-0.24004976381475307,38.15999984741211,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
150,09:35:10,31.82900000002701,3.1390683633407925,-0.2612884870609197,44.93000030517578,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
151,09:35:10,32.03200000000652,3.136391190963071,-0.26856870771644387,48.630001068115234,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
152,09:35:10,32.25,3.1260301761475384,-0.27109783088668665,55.30000114440918,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
153,09:35:10,32.45400000002701,3.1268373242066807,-0.305666125109442,65.84000015258789,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
154,09:35:10,32.65700000000652,3.114463114363111,-0.2818689956627009,72.58000183105469,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
155,09:35:11,32.86000000004424,3.113172334906435,-0.306047245005049,75.93000030517578,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
156,09:35:11,33.06300000002375,3.0828751032323365,-0.3492235706627833,83.17000198364258,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
157,09:35:11,33.26600000000326,3.0768919399442365,-0.3739317535182821,93.20999908447266,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
158,09:35:11,33.46900000004098,3.0585670464269206,-0.4086363173438469,100.26000213623047,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
159,09:35:11,33.68800000002375,3.034124152467233,-0.41530669257724295,103.56999969482422,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
160,09:35:12,33.89100000000326,3.004626361100561,-0.4258192157169842,110.55999755859375,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
161,09:35:12,34.09400000004098,2.993059646331454,-0.46988164816727634,117.63999938964844,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
162,09:35:12,34.29700000002049,2.9450597611545426,-0.4648525821095911,124.5199966430664,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
163,09:35:12,34.5,2.9388404992962025,-0.47867270160299125,131.72000122070312,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
164,09:35:12,34.70400000002701,2.9254475566676796,-0.5096307202557582,134.97000122070312,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
165,09:35:13,34.90700000000652,2.844633188390939,-0.47599341899701864,148.93000030517578,0.0,0.25,0.0,FORWARD,True
166,09:35:13,35.11000000004424,2.838735880654739,-0.5249641634591221,155.5199966430664,0.0,0.25,0.0,FORWARD,True
167,09:35:13,35.31300000002375,2.8074484424759114,-0.5197875215625853,156.43000030517578,0.0,0.25,0.0,FORWARD,True
168,09:35:13,35.51600000000326,2.7971096486668556,-0.5257218123080165,156.4800033569336,0.0,0.25,0.0,FORWARD,True
169,09:35:13,35.75,2.7794398025174236,-0.5239779535558167,156.45000457763672,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
170,09:35:14,35.95400000002701,2.759323571248708,-0.5302256478876666,157.4800033569336,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
171,09:35:14,36.15700000000652,2.750214560583353,-0.548181819995673,160.75000762939453,0.0,0.25,0.0,FORWARD,True
172,09:35:14,36.36000000004424,2.708550601254345,-0.5464470528532829,167.5199966430664,0.0,0.25,0.0,FORWARD,True
173,09:35:14,36.57900000002701,2.6911174559399327,-0.5181418630189144,170.04999542236328,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
174,09:35:14,36.78200000000652,2.6649352601849414,-0.5171075329623076,170.2300033569336,0.0,0.25,0.0,FORWARD,True
175,09:35:15,37.0,2.617299947102727,-0.5182049367674119,175.5999984741211,0.0,0.25,0.0,FORWARD,True
176,09:35:15,37.20400000002701,2.617299947102727,-0.5182049367674119,177.35999298095703,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
177,09:35:15,37.40700000000652,2.597399447887664,-0.5224751918689877,177.95000457763672,0.0,0.25,0.0,FORWARD,True
178,09:35:15,37.61000000004424,2.5289894172520113,-0.5065484944514602,-175.82999420166016,0.0,0.25,0.0,FORWARD,True
179,09:35:16,37.81300000002375,2.499760989622711,-0.5074828444327567,-174.54000091552734,0.0,0.25,0.0,FORWARD,True
180,09:35:16,38.01600000000326,2.488938269981615,-0.5107997172494764,-174.54000091552734,0.0,0.25,0.0,FORWARD,True
181,09:35:16,38.21900000004098,2.466872167358686,-0.5113973102481804,-174.56999969482422,0.0,0.25,0.0,FORWARD,True
182,09:35:16,38.42200000002049,2.4608134092831118,-0.5141729401005125,-174.5199966430664,0.0,0.25,0.0,FORWARD,True
