Sample,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,LidarLocalizationValid
91,11.125,1.1685573748558475,-0.027215746416226164,-0.0500030517578125,0.0,0.25,0.0,True
92,11.23399999999674,1.1801966664160763,-0.027262562373967916,-0.160003662109375,0.0,0.25,0.0,True
93,11.327999999979511,1.1920763066888165,-0.02743998430014046,-0.1399993896484375,0.0,0.25,0.0,True
94,11.452999999979511,1.215235172039499,-0.0278955319288833,-0.0800018310546875,0.0,0.25,0.0,True
95,11.59299999999348,1.2269946252448556,-0.028008306283099284,-0.1399993896484375,0.0,0.25,0.0,True
96,11.702999999979511,1.2395941875711525,-0.02818401234865012,-0.1199951171875,0.0,0.25,0.0,True
97,11.795999999972992,1.2515935397259674,-0.028297204979860463,-0.1399993896484375,0.0,0.25,0.0,True
98,11.90600000001723,1.2631128235559592,-0.02825252469184683,-0.2599945068359375,0.0,0.25,0.0,True
99,12.01500000001397,1.2727114826439399,-0.028073931264339835,-0.2299957275390625,0.0,0.25,0.0,True
100,12.125,1.2861530445396,-0.028717304690079107,-0.220001220703125,0.0,0.25,0.0,True
101,12.23399999999674,1.297672713466304,-0.02880728276898259,-0.269989013671875,0.0,0.25,0.0,True
102,12.327999999979511,1.309552019283333,-0.02880927234941826,-0.3199920654296875,0.0,0.25,0.0,True
103,12.436999999976251,1.3210731016786723,-0.02916708751325675,-0.3000030517578125,0.0,0.25,0.0,True
104,12.561999999976251,1.3437528241566814,-0.029403041456826498,-0.3000030517578125,0.0,0.25,0.0,True
105,12.65600000001723,1.3565946995129916,-0.029965325018886012,-0.2299957275390625,0.0,0.25,0.0,True
106,12.76500000001397,1.3565946995129916,-0.029965325018886012,-0.2299957275390625,0.0,0.25,0.0,True
107,12.875,1.3796346571089806,-0.030280304170885237,-0.2299957275390625,0.0,0.25,0.0,True
108,12.98399999999674,1.3915146222480947,-0.03043509711742836,-0.1999969482421875,0.0,0.25,0.0,True
109,13.09299999999348,1.4031544052417781,-0.030586854670326152,-0.3199920654296875,0.0,0.25,0.0,True
110,13.202999999979511,1.4147946509817553,-0.030723385010419893,-0.3699951171875,0.0,0.25,0.0,True
111,13.311999999976251,1.4265524817994581,-0.030501338748147713,-0.399993896484375,0.0,0.25,0.0,True
112,13.420999999972992,1.4383142445910553,-0.03083374662316243,-0.4499969482421875,0.0,0.25,0.0,True
113,13.53100000001723,1.4488706523912975,-0.030465739807702605,-0.5099945068359375,0.0,0.25,0.0,True
114,13.64000000001397,1.4613531825347648,-0.030760337912857285,-0.6100006103515625,0.0,0.25,0.0,True
115,13.76500000001397,1.4858393122321951,-0.03149444233826038,-0.489990234375,0.0,0.25,0.0,True
116,13.875,1.497242683877941,-0.032033512049779354,-0.3799896240234375,0.0,0.25,0.0,True
117,14.0,1.5087643380100033,-0.03253132532421248,-0.220001220703125,0.0,0.25,0.0,True
118,14.14000000001397,1.5202845539606697,-0.032762064609253246,-0.220001220703125,0.0,0.25,0.0,True
119,14.25,1.5316844496586086,-0.03292616679071478,-0.239990234375,0.0,0.25,0.0,True
120,14.35899999999674,1.5555633753845748,-0.03302402895816259,-0.279998779296875,0.0,0.25,0.0,True
121,14.452999999979511,1.566963407246158,-0.03317761782556479,-0.2899932861328125,0.0,0.25,0.0,True
122,14.577999999979511,1.5783628668749836,-0.03318264307896925,-0.3499908447265625,0.0,0.25,0.0,True
123,14.686999999976251,1.5903624160290102,-0.03323285208989617,-0.459991455078125,0.0,0.25,0.0,True
124,14.795999999972992,1.6015218456993023,-0.033213049712689804,-0.470001220703125,0.0,0.25,0.0,True
125,14.90600000001723,1.6143622056231568,-0.03331443600573124,-0.4799957275390625,0.0,0.25,0.0,True
126,15.01500000001397,1.626244179606513,-0.033560388815647,-0.55999755859375,0.0,0.25,0.0,True
127,15.125,1.6378833021450099,-0.03352636865291019,-0.489990234375,0.0,0.25,0.0,True
128,15.21799999999348,1.6491642948708727,-0.03371312442625267,-0.459991455078125,0.0,0.25,0.0,True
129,15.327999999979511,1.6606852256625324,-0.03390336685275456,-0.399993896484375,0.0,0.25,0.0,True
130,15.46799999999348,1.6837258497796896,-0.0341408957320959,-0.410003662109375,0.0,0.25,0.0,True
131,15.65600000001723,1.6952467585246618,-0.03433300257476916,-0.399993896484375,0.0,0.25,0.0,True
132,15.84299999999348,1.718165948483367,-0.03433982466729839,-0.5399932861328125,0.0,0.25,0.0,True
133,16.04599999997299,1.7397628112116452,-0.034106158216632765,-0.6699981689453125,0.0,0.25,0.0,True
134,16.35899999999674,1.77373874607615,-0.036070819930639146,-0.279998779296875,0.0,0.25,0.0,True
135,16.48399999999674,1.7963002371293932,-0.03711590845861942,-0.089996337890625,0.0,0.25,0.0,True
